                 STARTED     PID    PPID USER     CMD
Tue Jun  3 18:48:33 2025     114       2 root     [kworker/u33:0-hci0]
Tue Jun  3 18:48:33 2025     127       2 root     [kworker/R-charger_manager]
Tue Jun  3 18:48:33 2025     150       2 root     [kworker/7:1H-kblockd]
Tue Jun  3 18:48:33 2025     154       2 root     [kworker/2:1H-kblockd]
Tue Jun  3 18:48:33 2025     172       2 root     [kworker/4:1H-kblockd]
Tue Jun  3 18:48:33 2025     173       2 root     [kworker/3:1H-kblockd]
Tue Jun  3 18:48:33 2025     183       2 root     [kworker/5:1H-kblockd]
Tue Jun  3 18:48:33 2025     184       2 root     [kworker/6:1H-kblockd]
Tue Jun  3 18:48:33 2025     215       2 root     [kworker/R-nvme-wq]
Tue Jun  3 18:48:33 2025     218       2 root     [kworker/R-nvme-reset-wq]
Tue Jun  3 18:48:33 2025     224       2 root     [kworker/R-nvme-delete-wq]
Tue Jun  3 18:48:33 2025     228       2 root     [kworker/R-nvme-auth-wq]
Tue Jun  3 18:48:33 2025     254       2 root     [scsi_eh_0]
Tue Jun  3 18:48:33 2025     255       2 root     [kworker/R-scsi_tmf_0]
Tue Jun  3 18:48:33 2025     256       2 root     [scsi_eh_1]
Tue Jun  3 18:48:33 2025     257       2 root     [kworker/R-scsi_tmf_1]
Tue Jun  3 18:48:33 2025     258       2 root     [scsi_eh_2]
Tue Jun  3 18:48:33 2025     259       2 root     [kworker/R-scsi_tmf_2]
Tue Jun  3 18:48:37 2025     420       2 root     [jbd2/sda2-8]
Tue Jun  3 18:48:37 2025     421       2 root     [kworker/R-ext4-rsv-conversion]
Tue Jun  3 18:48:38 2025     488       1 root     /usr/lib/systemd/systemd-journald
Tue Jun  3 18:48:38 2025     547       1 root     /usr/lib/systemd/systemd-udevd
Tue Jun  3 18:48:38 2025     559       2 root     [psimon]
Tue Jun  3 18:48:38 2025     702       2 root     [irq/143-mei_me]
Tue Jun  3 18:48:38 2025     730       2 root     [kworker/R-cryptd]
Tue Jun  3 18:48:39 2025     893       2 root     [kworker/R-ttm]
Tue Jun  3 18:48:39 2025     894       2 root     [card1-crtc0]
Tue Jun  3 18:48:39 2025     895       2 root     [card1-crtc1]
Tue Jun  3 18:48:39 2025     896       2 root     [card1-crtc2]
Tue Jun  3 18:48:39 2025     902       2 root     [nv_queue]
Tue Jun  3 18:48:39 2025     903       2 root     [nv_queue]
Tue Jun  3 18:48:39 2025     904       2 root     [nv_open_q]
Tue Jun  3 18:48:39 2025     917       2 root     [nvidia-modeset/kthread_q]
Tue Jun  3 18:48:39 2025     918       2 root     [nvidia-modeset/deferred_close_kthread_q]
Tue Jun  3 18:48:39 2025     920       2 root     [irq/145-nvidia]
Tue Jun  3 18:48:39 2025     921       2 root     [nvidia]
Tue Jun  3 18:48:39 2025     922       2 root     [nv_queue]
Tue Jun  3 18:48:40 2025    1073       2 root     [kworker/R-cfg80211]
Tue Jun  3 18:48:40 2025    1076       2 root     [kworker/u33:1-hci0]
Tue Jun  3 18:48:41 2025    1323       2 root     [UVM global queue]
Tue Jun  3 18:48:41 2025    1324       2 root     [UVM deferred release queue]
Tue Jun  3 18:48:41 2025    1325       2 root     [UVM Tools Event Queue]
Tue Jun  3 18:48:42 2025    1574       2 root     [spl_system_task]
Tue Jun  3 18:48:42 2025    1575       2 root     [spl_delay_taskq]
Tue Jun  3 18:48:42 2025    1576       2 root     [spl_dynamic_tas]
Tue Jun  3 18:48:42 2025    1577       2 root     [spl_kmem_cache]
Tue Jun  3 18:48:43 2025    1578       2 root     [zvol_tq-0]
Tue Jun  3 18:48:43 2025    1579       2 root     [zvol_tq-1]
Tue Jun  3 18:48:43 2025    1580       2 root     [arc_prune]
Tue Jun  3 18:48:43 2025    1581       2 root     [arc_evict]
Tue Jun  3 18:48:43 2025    1582       2 root     [arc_reap]
Tue Jun  3 18:48:43 2025    1583       2 root     [dbu_evict]
Tue Jun  3 18:48:43 2025    1584       2 root     [dbuf_evict]
Tue Jun  3 18:48:43 2025    1585       2 root     [z_vdev_file]
Tue Jun  3 18:48:44 2025    1607       2 root     [l2arc_feed]
Tue Jun  3 18:48:44 2025    2014       1 _rpc     /sbin/rpcbind -f -w
Tue Jun  3 18:48:44 2025    2015       1 systemd+ /usr/lib/systemd/systemd-oomd
Tue Jun  3 18:48:44 2025    2016       1 systemd+ /usr/lib/systemd/systemd-resolved
Tue Jun  3 18:48:44 2025    2017       2 root     [kworker/R-rpciod]
Tue Jun  3 18:48:44 2025    2018       2 root     [kworker/R-xprtiod]
Tue Jun  3 18:48:44 2025    2019       1 root     /sbin/auditd
Tue Jun  3 18:48:47 2025    2160       1 avahi    avahi-daemon: running [aiegoo.local]
Tue Jun  3 18:48:47 2025    2161       1 root     /usr/libexec/bluetooth/bluetoothd
Tue Jun  3 18:48:47 2025    2162       1 message+ @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
Tue Jun  3 18:48:47 2025    2165       1 gnome-r+ /usr/libexec/gnome-remote-desktop-daemon --system
Tue Jun  3 18:48:47 2025    2176       1 root     /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Tue Jun  3 18:48:47 2025    2186       1 polkitd  /usr/lib/polkit-1/polkitd --no-debug
Tue Jun  3 18:48:47 2025    2190       1 root     /usr/lib/snapd/snapd
Tue Jun  3 18:48:47 2025    2191       1 root     /usr/bin/numad -i 15
Tue Jun  3 18:48:47 2025    2195       1 nvidia-+ /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
Tue Jun  3 18:48:47 2025    2196       1 root     /usr/libexec/accounts-daemon
